date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:35:20	986648/986648	---M--	200	added ('OK')	application/octet-stream	etag:%2267865903-f0e18%22	https://new.axilthemes.com/demo/template/blogar/assets/fonts/fa-solid-900.ttf	C:/My%20Web%20Sites/blog%20website/new.axilthemes.com/demo/template/blogar/assets/fonts/fa-solid-900.ttf	(from https://new.axilthemes.com/demo/template/blogar/assets/css/vendor/font-awesome.css)
20:35:21	1380/1380	---M--	200	added ('OK')	application/font-woff	etag:%2261a0a74f-564%22	https://new.axilthemes.com/demo/template/blogar/assets/fonts/slick.woff	C:/My%20Web%20Sites/blog%20website/new.axilthemes.com/demo/template/blogar/assets/fonts/slick.woff	(from https://new.axilthemes.com/demo/template/blogar/assets/css/vendor/slick-theme.css)
20:35:21	1386440/1386440	---M--	200	added ('OK')	application/octet-stream	etag:%2267865903-1527c8%22	https://new.axilthemes.com/demo/template/blogar/assets/fonts/fa-thin-100.ttf	C:/My%20Web%20Sites/blog%20website/new.axilthemes.com/demo/template/blogar/assets/fonts/fa-thin-100.ttf	(from https://new.axilthemes.com/demo/template/blogar/assets/css/vendor/font-awesome.css)
20:35:21	1892/1892	---M--	200	added ('OK')	application/octet-stream	etag:%2261a0a74f-764%22	https://new.axilthemes.com/demo/template/blogar/assets/fonts/slick.ttf	C:/My%20Web%20Sites/blog%20website/new.axilthemes.com/demo/template/blogar/assets/fonts/slick.ttf	(from https://new.axilthemes.com/demo/template/blogar/assets/css/vendor/slick-theme.css)
20:35:21	2152/2152	---M--	200	added ('OK')	image/svg+xml	etag:%2261a0a74f-868%22	https://new.axilthemes.com/demo/template/blogar/assets/fonts/slick.svg	C:/My%20Web%20Sites/blog%20website/new.axilthemes.com/demo/template/blogar/assets/fonts/slick.svg	(from https://new.axilthemes.com/demo/template/blogar/assets/css/vendor/slick-theme.css)
20:35:21	457385/457385	---M--	200	added ('OK')	image/jpeg	etag:%2261a0a74f-6faa9%22	https://new.axilthemes.com/demo/template/blogar/assets/images/bg/bg-image-1.jpg	C:/My%20Web%20Sites/blog%20website/new.axilthemes.com/demo/template/blogar/assets/images/bg/bg-image-1.jpg	(from https://new.axilthemes.com/demo/template/blogar/assets/css/style.css)
20:35:22	262678/262678	---M--	200	added ('OK')	image/jpeg	etag:%2261a0a74f-40216%22	https://new.axilthemes.com/demo/template/blogar/assets/images/bg/bg-image-2.jpg	C:/My%20Web%20Sites/blog%20website/new.axilthemes.com/demo/template/blogar/assets/images/bg/bg-image-2.jpg	(from https://new.axilthemes.com/demo/template/blogar/assets/css/style.css)
20:35:22	334387/334387	---M--	200	added ('OK')	image/jpeg	etag:%2261a0a74f-51a33%22	https://new.axilthemes.com/demo/template/blogar/assets/images/bg/bg-image-3.jpg	C:/My%20Web%20Sites/blog%20website/new.axilthemes.com/demo/template/blogar/assets/images/bg/bg-image-3.jpg	(from https://new.axilthemes.com/demo/template/blogar/assets/css/style.css)
20:35:22	87636/87636	---M--	200	added ('OK')	image/jpeg	etag:%2261a0a74f-15654%22	https://new.axilthemes.com/demo/template/blogar/assets/images/bg/bg-image-4.jpg	C:/My%20Web%20Sites/blog%20website/new.axilthemes.com/demo/template/blogar/assets/images/bg/bg-image-4.jpg	(from https://new.axilthemes.com/demo/template/blogar/assets/css/style.css)
20:35:22	299/299	---M--	200	added ('OK')	image/png	etag:%2261a0a74f-12b%22	https://new.axilthemes.com/demo/template/blogar/assets/images/icons/arrow-icon.png	C:/My%20Web%20Sites/blog%20website/new.axilthemes.com/demo/template/blogar/assets/images/icons/arrow-icon.png	(from https://new.axilthemes.com/demo/template/blogar/assets/css/style.css)
20:35:22	216/216	---M--	200	added ('OK')	image/png	etag:%2261a0a74f-d8%22	https://new.axilthemes.com/demo/template/blogar/assets/images/icons/light-close.png	C:/My%20Web%20Sites/blog%20website/new.axilthemes.com/demo/template/blogar/assets/images/icons/light-close.png	(from https://new.axilthemes.com/demo/template/blogar/assets/css/style.css)
20:35:23	1828/1828	---M--	200	added ('OK')	image/png	etag:%2261a0a74f-724%22	https://new.axilthemes.com/demo/template/blogar/assets/images/icons/shape-01.png	C:/My%20Web%20Sites/blog%20website/new.axilthemes.com/demo/template/blogar/assets/images/icons/shape-01.png	(from https://new.axilthemes.com/demo/template/blogar/assets/css/style.css)
20:35:23	1526/1526	---M--	200	added ('OK')	image/png	etag:%2261a0a74f-5f6%22	https://new.axilthemes.com/demo/template/blogar/assets/images/icons/shape-02.png	C:/My%20Web%20Sites/blog%20website/new.axilthemes.com/demo/template/blogar/assets/images/icons/shape-02.png	(from https://new.axilthemes.com/demo/template/blogar/assets/css/style.css)
20:35:23	3762/3762	---M--	200	added ('OK')	image/png	etag:%2261a0a74f-eb2%22	https://new.axilthemes.com/demo/template/blogar/assets/images/logo/logo-white.png	C:/My%20Web%20Sites/blog%20website/new.axilthemes.com/demo/template/blogar/assets/images/logo/logo-white.png	(from https://new.axilthemes.com/demo/template/blogar/home-creative-blog.html)
20:35:24	8002/8002	---M--	200	added ('OK')	image/jpeg	etag:%2261a0a74f-1f42%22	https://new.axilthemes.com/demo/template/blogar/assets/images/small-images/blog-sm-04.jpg	C:/My%20Web%20Sites/blog%20website/new.axilthemes.com/demo/template/blogar/assets/images/small-images/blog-sm-04.jpg	(from https://new.axilthemes.com/demo/template/blogar/home-creative-blog.html)
20:35:24	97160/97160	---M--	200	added ('OK')	image/jpeg	etag:%2261a0a74f-17b88%22	https://new.axilthemes.com/demo/template/blogar/assets/images/banner/post-hover-image-01.jpg	C:/My%20Web%20Sites/blog%20website/new.axilthemes.com/demo/template/blogar/assets/images/banner/post-hover-image-01.jpg	(from https://new.axilthemes.com/demo/template/blogar/home-creative-blog.html)
20:35:24	76602/76602	---M--	200	added ('OK')	image/jpeg	etag:%2261a0a74f-12b3a%22	https://new.axilthemes.com/demo/template/blogar/assets/images/banner/post-hover-image-02.jpg	C:/My%20Web%20Sites/blog%20website/new.axilthemes.com/demo/template/blogar/assets/images/banner/post-hover-image-02.jpg	(from https://new.axilthemes.com/demo/template/blogar/home-creative-blog.html)
20:35:24	118597/118597	---M--	200	added ('OK')	image/jpeg	etag:%2261a0a74f-1cf45%22	https://new.axilthemes.com/demo/template/blogar/assets/images/banner/post-hover-image-03.jpg	C:/My%20Web%20Sites/blog%20website/new.axilthemes.com/demo/template/blogar/assets/images/banner/post-hover-image-03.jpg	(from https://new.axilthemes.com/demo/template/blogar/home-creative-blog.html)
20:35:24	12656/12656	---M--	200	added ('OK')	image/jpeg	etag:%2261a0a74f-3170%22	https://new.axilthemes.com/demo/template/blogar/assets/images/small-images/blog-sm-10.jpg	C:/My%20Web%20Sites/blog%20website/new.axilthemes.com/demo/template/blogar/assets/images/small-images/blog-sm-10.jpg	(from https://new.axilthemes.com/demo/template/blogar/home-creative-blog.html)
20:35:25	7003/7003	---M--	200	added ('OK')	image/jpeg	etag:%2261a0a74f-1b5b%22	https://new.axilthemes.com/demo/template/blogar/assets/images/small-images/blog-sm-05.jpg	C:/My%20Web%20Sites/blog%20website/new.axilthemes.com/demo/template/blogar/assets/images/small-images/blog-sm-05.jpg	(from https://new.axilthemes.com/demo/template/blogar/home-creative-blog.html)
20:35:25	13945/13945	---M--	200	added ('OK')	image/jpeg	etag:%2261a0a74f-3679%22	https://new.axilthemes.com/demo/template/blogar/assets/images/small-images/blog-sm-09.jpg	C:/My%20Web%20Sites/blog%20website/new.axilthemes.com/demo/template/blogar/assets/images/small-images/blog-sm-09.jpg	(from https://new.axilthemes.com/demo/template/blogar/home-creative-blog.html)
20:35:25	13926/13926	---M--	200	added ('OK')	image/jpeg	etag:%2261a0a74f-3666%22	https://new.axilthemes.com/demo/template/blogar/assets/images/small-images/blog-sm-08.jpg	C:/My%20Web%20Sites/blog%20website/new.axilthemes.com/demo/template/blogar/assets/images/small-images/blog-sm-08.jpg	(from https://new.axilthemes.com/demo/template/blogar/home-creative-blog.html)
20:35:25	18280/18280	---M--	200	added ('OK')	image/jpeg	etag:%2261a0a74f-4768%22	https://new.axilthemes.com/demo/template/blogar/assets/images/small-images/blog-sm-07.jpg	C:/My%20Web%20Sites/blog%20website/new.axilthemes.com/demo/template/blogar/assets/images/small-images/blog-sm-07.jpg	(from https://new.axilthemes.com/demo/template/blogar/home-creative-blog.html)
20:35:26	10789/10789	---M--	200	added ('OK')	image/jpeg	etag:%2261a0a74f-2a25%22	https://new.axilthemes.com/demo/template/blogar/assets/images/small-images/blog-sm-06.jpg	C:/My%20Web%20Sites/blog%20website/new.axilthemes.com/demo/template/blogar/assets/images/small-images/blog-sm-06.jpg	(from https://new.axilthemes.com/demo/template/blogar/home-creative-blog.html)
20:35:26	30253/30253	---M--	200	added ('OK')	image/jpeg	etag:%2261a0a74f-762d%22	https://new.axilthemes.com/demo/template/blogar/assets/images/post-images/post-column-09.jpg	C:/My%20Web%20Sites/blog%20website/new.axilthemes.com/demo/template/blogar/assets/images/post-images/post-column-09.jpg	(from https://new.axilthemes.com/demo/template/blogar/home-creative-blog.html)
20:35:26	18948/18948	---M--	200	added ('OK')	image/jpeg	etag:%2261a0a74f-4a04%22	https://new.axilthemes.com/demo/template/blogar/assets/images/post-images/post-grid-05.jpg	C:/My%20Web%20Sites/blog%20website/new.axilthemes.com/demo/template/blogar/assets/images/post-images/post-grid-05.jpg	(from https://new.axilthemes.com/demo/template/blogar/home-creative-blog.html)
20:35:27	14233/14233	---M--	200	added ('OK')	image/jpeg	etag:%2261a0a74f-3799%22	https://new.axilthemes.com/demo/template/blogar/assets/images/post-images/post-grid-06.jpg	C:/My%20Web%20Sites/blog%20website/new.axilthemes.com/demo/template/blogar/assets/images/post-images/post-grid-06.jpg	(from https://new.axilthemes.com/demo/template/blogar/home-creative-blog.html)
